ID,DATE,N_FX_STAFF,N_MONITORS
2013_10,2013-04-12T00:00:00Z,1,NA
2013_11,2013-04-16T00:00:00Z,2,NA
2013_12,2013-04-23T00:00:00Z,1,NA
2013_13,2013-04-24T00:00:00Z,1,NA
2013_14,2013-04-24T00:00:00Z,1,NA
2013_15,2013-05-07T00:00:00Z,1,NA
2013_16,2013-05-16T00:00:00Z,1,NA
2013_17,2013-05-28T00:00:00Z,1,NA
2013_18,2013-06-06T00:00:00Z,1,NA
2013_20,2013-06-18T00:00:00Z,1,NA
2013_21,2012-06-20T00:00:00Z,1,NA
2013_23,2013-08-22T00:00:00Z,1,NA
2013_24,2013-09-19T00:00:00Z,1,NA
2013_25,2013-09-24T00:00:00Z,1,NA
2013_26,2013-10-08T00:00:00Z,1,NA
2013_27,2013-10-08T00:00:00Z,1,NA
2013_28,2013-10-17T00:00:00Z,2,NA
2013_29,2013-10-29T00:00:00Z,1,NA
2013_30,2013-11-19T00:00:00Z,1,NA
2013_31,2013-11-20T00:00:00Z,1,NA
2013_32,2013-11-22T00:00:00Z,1,NA
2013_34,2013-11-29T00:00:00Z,1,NA
2013_35,2013-12-03T00:00:00Z,1,NA
2013_38,2013-12-12T00:00:00Z,1,NA
2012_1,2012-01-17T00:00:00Z,1,NA
2012_2,2012-02-07T00:00:00Z,1,NA
2012_3,2012-02-08T00:00:00Z,1,NA
2012_4,2012-02-09T00:00:00Z,1,NA
2012_5,2012-02-14T00:00:00Z,1,NA
2012_6,2012-02-23T00:00:00Z,1,NA
2012_7,2012-03-07T00:00:00Z,2,NA
2012_8,2012-03-13T00:00:00Z,1,NA
2012_9,2012-03-27T00:00:00Z,1,NA
2012_10,2012-04-12T00:00:00Z,1,NA
2012_11,2012-04-17T00:00:00Z,1,NA
2012_12,2012-04-18T00:00:00Z,1,NA
2012_13,2012-04-19T00:00:00Z,1,NA
2012_14,2012-04-26T00:00:00Z,1,NA
2012_15,2012-04-27T00:00:00Z,1,NA
2012_17,2012-05-15T00:00:00Z,1,NA
2012_18,2012-05-23T00:00:00Z,1,NA
2012_19,2012-05-31T00:00:00Z,1,NA
2012_20,2012-06-13T00:00:00Z,1,NA
2012_21,2012-06-20T00:00:00Z,1,NA
2012_23,2012-06-27T00:00:00Z,1,NA
2012_24,2012-06-28T00:00:00Z,1,NA
2012_26,2012-09-04T00:00:00Z,1,NA
2012_27,2012-09-12T00:00:00Z,2,NA
2012_28,2012-09-18T00:00:00Z,1,NA
2012_31,2012-10-11T00:00:00Z,1,NA
2012_32,2012-10-17T00:00:00Z,1,NA
2012_33,2012-10-25T00:00:00Z,1,NA
2012_34,2012-11-08T00:00:00Z,1,NA
2012_35,2012-11-13T00:00:00Z,1,NA
2012_36,2012-12-05T00:00:00Z,1,NA
2012_37,2012-12-05T00:00:00Z,1,NA
2012_38,2012-12-12T00:00:00Z,1,NA
2011_4,2011-02-15T00:00:00Z,2,NA
2011_5,2011-02-16T00:00:00Z,1,NA
2011_6,2011-02-22T00:00:00Z,1,NA
2011_7,2011-03-02T00:00:00Z,1,NA
2011_8,2011-03-09T00:00:00Z,1,NA
2011_9,2011-03-30T00:00:00Z,1,NA
2011_10,2011-03-31T00:00:00Z,2,NA
2011_11,2011-04-12T00:00:00Z,1,NA
2011_12,2011-04-20T00:00:00Z,1,NA
2011_13,2011-04-28T00:00:00Z,1,NA
2011_14,2011-04-28T00:00:00Z,1,NA
2011_16,2011-05-31T00:00:00Z,1,NA
2011_17,2011-06-08T00:00:00Z,1,NA
2011_18,2011-06-14T00:00:00Z,1,NA
2011_19,2011-06-16T00:00:00Z,1,NA
2011_20,2011-06-21T00:00:00Z,1,NA
2011_21,2011-06-29T00:00:00Z,2,NA
2011_22,2011-07-13T00:00:00Z,1,NA
2011_24,2011-08-18T00:00:00Z,1,NA
2011_25,2011-08-07T00:00:00Z,1,NA
2011_26,2011-09-20T00:00:00Z,1,NA
2011_27,2011-09-29T00:00:00Z,1,NA
2011_28,2011-10-12T00:00:00Z,1,NA
2011_29,2011-10-26T00:00:00Z,1,NA
2011_30,2011-10-27T00:00:00Z,1,NA
2011_31,2011-11-08T00:00:00Z,1,NA
2011_32,2011-11-10T00:00:00Z,1,NA
2011_36,2011-11-24T00:00:00Z,1,NA
2011_38,2011-11-30T00:00:00Z,1,NA
2011_41,2011-12-14T00:00:00Z,1,NA
2011_42,2011-12-15T00:00:00Z,1,NA
