ROID,MSNAME,DEST,N_RETURNEES,MSISO
RO-01068,Germany,Pakistan,32,DEU
RO-01068,Italy,Pakistan,5,ITA
RO-01259,Belgium,Albania,5,BEL
RO-01259,France,Albania,40,FRA
RO-00869,Germany,Afghanistan,38,DEU
RO-00984,Italy,Tunisia,15,ITA
RO-01000,Germany,Albania,48,DEU
RO-01000,Germany,Moldova,51,DEU
RO-01021,Italy,Nigeria,35,ITA
RO-01030,Italy,Tunisia,18,ITA
RO-01042,Sweden,Afghanistan,20,SWE
RO-01070,Belgium,Albania,5,BEL
RO-01070,France,Albania,34,FRA
RO-01146,Italy,Tunisia,20,ITA
RO-01093,Germany,Tunisia,25,DEU
RO-01242,Germany,Azerbaijan,9,DEU
RO-01143,Bulgaria,Nigeria,1,BGR
RO-01143,Germany,Nigeria,21,DEU
RO-01143,Sweden,Nigeria,1,SWE
RO-01282,Italy,Tunisia,13,ITA
RO-01273,Spain,Colombia,42,ESP
RO-01273,Spain,Dominican Republic,8,ESP
RO-00930,Belgium,Albania,5,BEL
RO-00930,France,Albania,21,FRA
RO-00985,Italy,Nigeria,17,ITA
RO-00870,Germany,Afghanistan,21,DEU
RO-00955,Belgium,Albania,5,BEL
RO-00955,France,Albania,22,FRA
RO-00983,Austria,Kosovo,4,AUT
RO-00983,Austria,North Macedonia,8,AUT
RO-00983,Austria,Serbia,5,AUT
RO-00983,Slovenia,Kosovo,1,SVN
RO-01123,Bulgaria,Nigeria,1,BGR
RO-01123,Germany,Nigeria,19,DEU
RO-01123,Portugal,Nigeria,1,PRT
RO-01166,Italy,Tunisia,19,ITA
RO-01227,Spain,Mauritania,17,ESP
RO-01235,Italy,Tunisia,30,ITA
RO-01224,Austria,Albania,7,AUT
RO-01224,Austria,Kosovo,3,AUT
RO-01224,Germany,Albania,91,DEU
RO-01224,Germany,Kosovo,17,DEU
RO-01256,Belgium,Albania,5,BEL
RO-01256,France,Albania,20,FRA
RO-01026,Germany,Nigeria,25,DEU
RO-01026,Greece,Nigeria,1,GRC
RO-01113,Germany,Turkey,3,DEU
RO-01128,France,Albania,24,FRA
RO-01277,Luxembourg,Albania,9,LUX
RO-01277,Luxembourg,North Macedonia,6,LUX
RO-01265,France,Georgia,40,FRA
RO-01265,Sweden,Georgia,3,SWE
RO-00883,France,Georgia,2,FRA
RO-00883,Germany,Georgia,72,DEU
RO-00883,Luxembourg,Georgia,4,LUX
RO-01019,Belgium,Albania,5,BEL
RO-01019,France,Albania,24,FRA
