ID,OPTYPE,N_RETURNEES,N_FX_STAFF,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,N_MONITORS_POOL,FX_CONTRIB,n
RO-02044,NRO,9,NA,43,41,2,0,0,0,3,92788.7,2
RO-02048,NRO,19,NA,44,42,2,0,0,0,0,80699,2
RO-02053,NRO,22,NA,63,61,2,0,0,0,2,92718,2
RO-02065,NRO,25,NA,70,69,1,0,0,0,2,79588,2
RO-01178,NRO,31,0,113,111,1,0,1,2,0,389219.07,2
RO-01179,JRO,49,1,102,100,2,0,0,2,0,367644.13,2
RO-01180,JRO,45,1,123,120,3,0,0,2,1,456031.85,2
RO-01186,JRO,29,0,92,90,2,0,0,1,0,330711.87,2
RO-01187,NRO,37,1,105,104,1,0,0,2,0,398980.41,2
RO-01188,NRO,31,1,89,88,1,0,0,1,0,399527.11,2
RO-01193,CRO,36,1,41,38,1,0,2,2,0,138320.16,2
RO-01194,CRO,84,0,39,38,1,0,0,2,0,141294.46,2
RO-01195,CRO,52,1,41,38,1,0,2,1,0,140059.3,2
RO-01204,JRO,35,1,98,94,4,0,0,0,1,363534.61,2
RO-01205,JRO,35,1,88,83,5,0,0,0,2,372158.75,2
RO-01210,NRO,4,0,18,15,1,0,2,0,1,91008.64,2
RO-01211,NRO,7,0,26,24,1,0,1,0,1,65071.27,2
RO-01212,NRO,5,0,20,18,1,0,1,0,1,78868.88,2
RO-01219,JRO,46,1,119,114,5,0,0,0,3,592387.73,2
RO-01220,JRO,23,1,66,60,3,0,3,0,1,517011.16,2
RO-01231,JRO,11,1,52,50,2,0,0,2,0,192091.74,2
RO-01233,JRO,28,0,108,106,2,0,0,2,0,209233.16,2
RO-01237,NRO,21,1,72,71,1,0,0,2,0,190695.97,2
RO-01263,JRO,76,1,51,49,2,0,0,1,1,119956.52,2
RO-01264,NRO,78,2,44,43,1,0,0,1,0,84420.63,2
RO-01281,CRO,44,1,34,30,3,0,1,1,3,39542.78,2
RO-01283,JRO,33,0,143,140,3,0,0,0,1,443823.13,2
RO-01284,NRO,34,0,96,95,1,0,0,1,0,375973.16,2
RO-01285,JRO,37,0,110,108,2,0,0,1,0,427320.74,2
RO-01289,JRO,10,1,45,41,3,0,1,0,2,399499.71,2
RO-01291,NRO,18,1,69,68,1,0,0,1,0,90038.7,2
RO-01292,NRO,19,0,71,70,1,0,0,1,0,87159.9,2
RO-01294,NRO,21,1,48,47,1,0,0,2,0,140427.34,2
RO-01295,NRO,41,0,66,65,1,0,0,1,0,102488.7,2
RO-01298,NRO,29,1,66,65,1,0,0,1,0,126019.78,2
RO-01299,JRO,16,1,65,60,3,0,2,2,2,161182.63,2
RO-01304,NRO,76,2,43,42,1,0,0,1,0,95566.89,2
RO-01305,NRO,57,0,32,31,1,0,0,1,0,85106.48,2
RO-01306,NRO,47,0,42,41,1,0,0,1,0,81231,2
RO-01307,NRO,46,0,69,68,1,0,0,0,2,92769.61,2
RO-01311,CRO,47,0,47,43,1,0,3,1,0,47126.27,2
RO-01312,CRO,29,1,47,43,1,0,3,1,0,44169.18,2
RO-01313,CRO,40,0,50,46,1,0,3,1,0,44471.92,2
RO-01314,JRO,75,0,52,50,2,0,0,1,0,144911.6,2
RO-01315,NRO,31,0,20,19,1,0,0,0,0,81101.45,2
RO-01317,CRO,31,1,45,43,1,0,1,1,0,61916.28,2
RO-01321,NRO,27,0,53,52,1,0,0,0,2,333300,2
RO-01322,NRO,85,0,58,57,1,0,0,2,0,98211.99,2
RO-01326,NRO,59,0,34,33,1,0,0,1,0,97838.93,2
RO-01328,NRO,46,0,40,39,1,0,0,1,0,105731.28,2
