ROID,DATE,MSISO,FX_CONTRIB,MSNAME,N_ESC_LEAD,N_ESC,FRESO_AP_CAT_1,FRESO_AP_CAT_2,FRESO_HQ_CAT_1,FRESO_HQ_CAT_2,FRESO_CAT_3,N_MEDS,N_OBS_MS,N_OBS_TC,N_MONITORS_NAT,N_MONITORS_POOL_MS,N_MONITORS_FX,N_MONITORS,N_OBS,N_ESC_OBS_MED
RO-00982,16/04/2019,DEU,76302.45,Germany,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,84
RO-01000,18/04/2019,DEU,94303.3,Germany,1,41,0,0,0,0,0,4,0,0,0,1,0,1,0,46
RO-01030,18/04/2019,ITA,49995,Italy,2,53,0,0,0,0,0,2,0,0,0,0,0,0,0,57
RO-01021,18/04/2019,ITA,2045.24,Italy,2,108,0,0,0,0,0,2,0,0,2,0,0,2,0,112
RO-00978,24/04/2019,FRA,41367.26,France,2,35,0,0,0,0,0,2,3,0,0,1,0,1,3,42
RO-00978,24/04/2019,NLD,4072.8,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00978,24/04/2019,BEL,170.85,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-01024,24/04/2019,DEU,436620.18,Germany,1,68,0,0,0,0,0,2,1,0,0,1,0,1,1,72
RO-01025,25/04/2019,ESP,147697.68,Spain,1,101,0,0,0,0,0,2,0,0,2,0,0,2,0,104
RO-01008,26/04/2019,FRA,124346.53,France,1,43,0,0,0,0,0,1,0,0,0,1,0,1,0,45
RO-00953,30/04/2019,DEU,171205.28,Germany,1,43,0,0,0,0,0,3,0,0,1,1,0,2,0,47
RO-01046,30/04/2019,FRA,43691.56,France,1,37,0,0,0,0,0,2,3,0,0,1,0,1,3,43
RO-01046,30/04/2019,BEL,164.79,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00965,06/05/2019,DEU,375950.6,Germany,1,82,0,0,0,0,0,1,0,0,1,0,0,1,0,84
RO-00965,06/05/2019,NLD,NA,Netherlands,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
RO-00965,06/05/2019,DNK,22001.02,Denmark,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7
RO-01017,07/05/2019,FRA,41152.79,France,2,35,0,0,0,0,0,2,3,0,0,1,0,1,3,42
RO-01017,07/05/2019,BEL,130.69,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-01011,07/05/2019,HUN,9385.65,Hungary,1,12,0,0,0,0,0,2,0,0,1,0,0,1,0,15
RO-01011,07/05/2019,AUT,342640.48,Austria,1,44,0,0,0,0,0,3,0,0,1,0,0,1,0,48
RO-01011,07/05/2019,SWE,60509.59,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RO-01011,07/05/2019,BGR,10559.55,Bulgaria,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9
RO-00947,07/05/2019,DEU,40282.1,Germany,1,22,0,0,0,0,0,1,0,0,0,1,0,1,0,24
RO-01004,08/05/2019,DEU,100767.59,Germany,1,69,0,0,0,0,0,2,0,0,0,2,0,2,0,72
RO-00994,08/05/2019,ESP,385976.91,Spain,1,96,0,0,0,0,0,2,0,0,2,0,0,2,0,99
RO-01055,09/05/2019,ITA,50096,Italy,1,86,0,0,0,0,0,2,0,0,0,0,0,0,0,89
RO-01040,09/05/2019,FIN,41116.09,Finland,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,5
RO-01018,14/05/2019,FRA,43789.09,France,2,35,0,0,0,0,0,2,3,0,0,1,0,1,3,42
RO-01028,15/05/2019,DEU,76693.29,Germany,1,45,0,0,0,0,0,2,0,0,0,1,0,1,0,48
RO-00974,15/05/2019,AUT,318418.72,Austria,1,45,0,0,0,0,0,3,1,0,1,0,0,1,1,50
RO-00974,15/05/2019,DEU,38502.3,Germany,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,38
RO-00974,15/05/2019,ROU,6266.04,Romania,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6
RO-00974,15/05/2019,FIN,38371.92,Finland,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7
RO-00974,15/05/2019,BGR,7108.38,Bulgaria,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7
RO-00974,15/05/2019,CZE,2353.3,Czech Republic,1,8,0,0,0,0,0,0,0,0,1,0,0,1,0,9
RO-00974,15/05/2019,LUX,5692.7,Luxembourg,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,5
RO-00974,15/05/2019,BEL,4254.36,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00963,15/05/2019,DEU,58716.75,Germany,1,50,0,0,0,0,0,1,0,0,0,1,0,1,0,52
RO-01058,16/05/2019,ITA,48379,Italy,1,68,0,0,0,0,0,2,0,0,0,0,0,0,0,71
RO-01057,16/05/2019,FRA,39592,France,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,23
RO-01014,16/05/2019,DEU,54890.25,Germany,1,18,0,0,0,0,0,1,0,0,0,1,0,1,0,20
RO-01013,16/05/2019,DEU,112102.39,Germany,1,63,0,0,0,0,0,3,0,0,0,2,0,2,0,67
RO-01026,20/05/2019,DEU,325765.24,Germany,1,90,0,0,0,0,0,2,0,0,0,1,0,1,0,93
RO-01026,20/05/2019,GRC,NA,Greece,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RO-01043,21/05/2019,DEU,432618.87,Germany,1,57,0,0,0,0,0,1,0,0,0,1,0,1,0,59
RO-01019,21/05/2019,FRA,42224.52,France,0,36,0,0,0,0,0,2,3,0,0,1,0,1,3,41
