OPTYPE,ROID,N_FX_STAFF,DATE
NRO,RO-01469,0,2020-08-12
NRO,RO-01470,0,2020-08-12
NRO,RO-01484,0,2020-08-13
NRO,RO-01414,0,2020-08-17
NRO,RO-01489,0,2020-08-17
JRO,RO-01283,0,2020-08-18
NRO,RO-01415,0,2020-08-19
NRO,RO-01471,0,2020-08-19
CRO,RO-01438,0,2020-08-20
NRO,RO-01482,0,2020-08-20
NRO,RO-01490,0,2020-08-20
NRO,RO-01495,0,2020-08-24
NRO,RO-01439,0,2020-08-25
JRO,RO-01466,0,2020-08-26
NRO,RO-01485,0,2020-08-26
NRO,RO-01443,0,2020-08-27
NRO,RO-01494,0,2020-08-27
NRO,RO-01515,0,2020-08-31
NRO,RO-01491,0,2020-09-01
NRO,RO-01444,0,2020-09-02
NRO,RO-01478,0,2020-09-02
NRO,RO-01486,0,2020-09-02
NRO,RO-01518,1,2020-09-03
NRO,RO-01284,0,2020-09-07
NRO,RO-01517,0,2020-09-07
CRO,RO-01441,0,2020-09-10
NRO,RO-01487,0,2020-09-10
NRO,RO-01519,0,2020-09-10
NRO,RO-01520,0,2020-09-14
CRO,RO-01492,0,2020-09-15
JRO,RO-01448,0,2020-09-17
NRO,RO-01522,0,2020-09-17
NRO,RO-01546,0,2020-09-21
NRO,RO-01508,0,2020-09-24
JRO,RO-01549,0,2020-09-24
NRO,RO-01551,0,2020-09-24
NRO,RO-01544,0,2020-09-25
JRO,RO-01479,0,2020-09-28
NRO,RO-01521,0,2020-09-28
NRO,RO-01553,0,2020-09-28
CRO,RO-01493,0,2020-09-29
JRO,RO-01454,0,2020-09-30
CRO,RO-01458,0,2020-09-30
NRO,RO-01509,0,2020-09-30
NRO,RO-01555,0,2020-10-01
NRO,RO-01557,0,2020-10-05
JRO,RO-01497,0,2020-10-06
CRO,RO-01510,0,2020-10-06
NRO,RO-01498,0,2020-10-07
NRO,RO-01543,0,2020-10-07
JRO,RO-01285,0,2020-10-08
NRO,RO-01559,0,2020-10-08
NRO,RO-01560,0,2020-10-12
CRO,RO-01512,0,2020-10-13
NRO,RO-01565,0,2020-10-13
JRO,RO-01516,0,2020-10-13
CRO,RO-01496,0,2020-10-15
NRO,RO-01564,0,2020-10-15
NRO,RO-01568,0,2020-10-19
CRO,RO-01513,0,2020-10-20
NRO,RO-01571,0,2020-10-20
NRO,RO-01563,0,2020-10-21
NRO,RO-01572,0,2020-10-22
NRO,RO-01576,0,2020-10-26
CRO,RO-01514,0,2020-10-27
NRO,RO-01523,1,2020-10-27
NRO,RO-01393,0,2020-10-28
JRO,RO-01570,0,2020-10-29
NRO,RO-01578,0,2020-10-29
CRO,RO-01524,0,2020-11-03
JRO,RO-01525,0,2020-11-03
NRO,RO-01556,0,2020-11-04
JRO,RO-01526,0,2020-11-05
NRO,RO-01548,0,2020-11-09
CRO,RO-01528,0,2020-11-10
CRO,RO-01530,0,2020-11-10
NRO,RO-01577,0,2020-11-10
NRO,RO-01529,0,2020-11-11
NRO,RO-01566,0,2020-11-11
JRO,RO-01547,0,2020-11-12
JRO,RO-01558,0,2020-11-12
CRO,RO-01532,1,2020-11-17
JRO,RO-01552,0,2020-11-17
JRO,RO-01561,0,2020-11-17
JRO,RO-01527,0,2020-11-18
NRO,RO-01533,0,2020-11-19
NRO,RO-01574,0,2020-11-23
NRO,RO-01511,0,2020-11-24
CRO,RO-01537,0,2020-11-24
CRO,RO-01535,0,2020-11-26
NRO,RO-01536,0,2020-11-26
NRO,RO-01542,0,2020-12-01
CRO,RO-01580,0,2020-12-01
NRO,RO-01598,0,2020-12-01
NRO,RO-01562,0,2020-12-02
JRO,RO-01575,0,2020-12-02
NRO,RO-01545,0,2020-12-03
NRO,RO-01593,0,2020-12-03
NRO,RO-01602,0,2020-12-03
NRO,RO-01622,0,2020-12-07
NRO,RO-01590,0,2020-12-08
CRO,RO-01582,0,2020-12-09
NRO,RO-01586,0,2020-12-09
NRO,RO-01583,0,2020-12-10
JRO,RO-01591,1,2020-12-10
NRO,RO-01600,0,2020-12-10
NRO,RO-01623,0,2020-12-10
NRO,RO-01584,0,2020-12-11
NRO,RO-01630,0,2020-12-14
CRO,RO-01587,1,2020-12-15
JRO,RO-01592,0,2020-12-15
NRO,RO-01629,0,2020-12-15
NRO,RO-01594,0,2020-12-16
NRO,RO-01597,0,2020-12-16
NRO,RO-01601,0,2020-12-16
NRO,RO-01624,0,2020-12-16
JRO,RO-01573,2,2020-12-17
CRO,RO-01585,0,2020-12-17
NRO,RO-01631,0,2020-12-17
NRO,RO-01595,0,2020-12-18
NRO,RO-01599,0,2020-12-18
NRO,RO-01596,0,2020-12-21
NRO,RO-01633,0,2020-12-21
NRO,RO-01634,0,2020-12-22
CRO,RO-01588,0,2020-12-23
NRO,RO-01603,0,2020-12-28
CRO,RO-01589,0,2020-12-29
